buurtcode,naam,totaal
BU02020338,"Bij de John Frostbrug",69
BU06260006,"Bijdorp",608
BU04891124,"Bijdorp",659
BU03639402,"Bijlmermuseum Noord",32
BU03639413,"Bijlmermuseum Zuid",190
BU19420005,"Bijlstraat",124
BU03760101,"Bijvanck",194
BU04061020,"Bijvanck Noord",862
BU04061021,"Bijvanck West",366
BU04060205,"Bikbergen",247
BU07861337,"Bikkelkamp",10
BU03130005,"Bikkersvaart",12
BU02741005,"Bilderberg",875
BU18840404,"Bilderdam",9
BU05051112,"Bildersteeg en omgeving",77
BU00806001,"Bilgaard",2164
BU03100701,"Bilthoven Centrum",1774
BU03100601,"Bilthoven Noord I",1902
BU03100602,"Bilthoven Noord II",2201
BU05183960,"Binckhorst",998
BU07960504,"Binckhorst",1181
BU07941201,"Binderen",2135
BU03750502,"Binnenduin",42
BU08520006,"Binnengouw",326
BU05470007,"Binnenhof",674
BU04890308,"Binnenland",571
BU18960013,"Binnenlanden-West",551
BU09570000,"Binnenstad",1043
BU03920102,"Binnenstad",356
BU02440000,"Binnenstad",170
BU03520000,"Binnenstad",856
BU07861346,"Binnenstad",63
BU07721110,"Binnenstad",993
BU02810000,"Binnenstad",442
BU06320101,"Binnenstad",657
BU05560303,"Binnenstad",195
BU04390101,"Binnenstad",480
BU04051000,"Binnenstad - Buurt 10 00",3
BU07960101,"Binnenstad-Centrum",860
BU02430101,"Binnenstad-Noord",294
BU01931010,"Binnenstad-Noord",172
BU01411000,"Binnenstad-Noord",856
BU09831104,"Binnenstad-Noord",596
BU07960104,"Binnenstad-Noord",188
BU08551002,"Binnenstad Oost",208
BU07960102,"Binnenstad-Oost",401
BU08551001,"Binnenstad West",432
BU01931000,"Binnenstad-Zuid",615
BU02430102,"Binnenstad-Zuid",386
BU01411001,"Binnenstad-Zuid",399
BU03400601,"Binnenveld",471
BU04980109,"Binnenwijzend",243
BU09951131,"Biomassa",135
BU19491901,"Bitgum",350
BU19492001,"Bitgummole",634
BU05020116,"Bizetbuurt",216
BU07727220,"Blaarthem",720
BU05050904,"Blaauwweg en omgeving",998
BU17280002,"Bladel Bedrijventerrein De Beemd en Leemskuilen",30
BU17280001,"Bladel Bedrijventerrein De Sleutel",75
